Run_ID,Speed_kmh,Mass_tonnes,Conv_Decel_mps2,Eddy_Addon_mps2,Total_Decel_mps2,Stop_Time_Conv_s,Stop_Dist_Conv_m,Stop_Time_Augmented_s,Stop_Dist_Augmented_m,Dist_Saved_m,Dist_Saved_Pct,Time_Saved_s,Total_Energy_MJ,Regen_Energy_kWh,Regen_Energy_MJ,Energy_Recovery_Pct,CO2_Saved_kg,Homes_Days
1,132.44,218.86,0.885,0.171,1.056,41.56,764.41,34.84,640.85,123.56,16.16,6.72,148.09,3.32,11.97,8.08,0.77,0.42
2,213.1,581.85,0.55,0.363,0.913,107.53,3182.64,64.83,1918.88,1263.75,39.71,42.7,1019.39,56.22,202.39,19.85,13.1,7.03
3,182.48,388.61,0.597,0.366,0.963,84.91,2151.96,52.62,1333.71,818.25,38.02,32.29,499.24,26.37,94.91,19.01,6.14,3.3
4,163.81,505.14,1.039,0.405,1.444,43.79,996.29,31.51,716.9,279.39,28.04,12.28,522.96,20.37,73.33,14.02,4.75,2.55
5,101.84,744.54,0.864,0.44,1.304,32.75,463.21,21.69,306.8,156.42,33.77,11.06,297.93,13.97,50.3,16.88,3.26,1.75
6,101.84,349.58,0.506,0.54,1.046,55.96,791.51,27.05,382.58,408.93,51.66,28.91,139.87,10.04,36.13,25.83,2.34,1.25
7,88.13,446.23,0.561,0.357,0.917,43.65,534.27,26.69,326.64,207.63,38.86,16.96,133.72,7.22,25.98,19.43,1.68,0.9
8,201.26,653.33,0.898,0.279,1.177,62.25,1740.1,47.49,1327.45,412.65,23.71,14.76,1021.02,33.63,121.06,11.86,7.84,4.2
9,164.16,337.28,0.503,0.468,0.971,90.65,2066.71,46.96,1070.56,996.15,48.2,43.69,350.65,23.47,84.51,24.1,5.47,2.93
10,179.13,246.19,0.596,0.258,0.855,83.42,2075.41,58.21,1448.2,627.2,30.22,25.21,304.77,12.79,46.05,15.11,2.98,1.6
11,82.88,373.85,0.829,0.326,1.155,27.76,319.6,19.94,229.49,90.11,28.19,7.83,99.08,3.88,13.97,14.1,0.9,0.48
12,215.79,296.73,0.915,0.181,1.097,65.5,1963.05,54.66,1638.33,324.72,16.54,10.83,533.07,12.25,44.09,8.27,2.85,1.53
